tconst,genres
tt0035423,Comedy
tt0035423,Fantasía
tt0035423,Romance
tt0066020,Acción
tt0066020,Comedy
tt0066151,Acción
tt0066151,Adventure
tt0067100,Acción
tt0067100,Drama
tt0067100,Thriller
tt0071560,Terror
tt0073537,Crime
tt0073537,Drama
tt0073537,Terror
tt0073604,Adventure
tt0073604,Terror
tt0073604,Ciencia Ficción
tt0074390,Terror
tt0075035,Terror
tt0075035,Ciencia Ficción
tt0075211,Documentary
tt0075211,Terror
tt0075859,Acción
tt0075859,Drama
tt0076276,Adventure
tt0076276,Comedy
tt0076276,Drama
tt0076396,Acción
tt0076426,Drama
tt0076426,Ciencia Ficción
tt0076580,Acción
tt0076580,Adventure
tt0076580,Comedy
tt0076709,Acción
tt0076709,Crime
tt0076709,Mystery
tt0077472,Acción
tt0077472,Drama
tt0077567,Terror
tt0077645,Acción
tt0077645,Thriller
tt0078349,Adventure
tt0078349,Animación
tt0078349,Family
tt0078393,Acción
tt0078393,Mystery
tt0078428,Acción
tt0078428,Drama
tt0078749,Adventure
tt0078749,Terror
tt0078749,Ciencia Ficción
tt0078751,Terror
tt0078751,Mystery
tt0078780,Animación
tt0078780,Comedy
tt0078780,Family
tt0078791,Terror
tt0078791,Thriller
tt0078806,Drama
tt0078806,Terror
tt0078806,Thriller
tt0078871,Drama
tt0078871,Terror
tt0078880,Crime
tt0078880,Terror
tt0078880,Thriller
tt0078918,Acción
tt0078918,Drama
tt0078918,History
tt0078935,Adventure
tt0078935,Terror
tt0078936,Terror
tt0079115,Adventure
tt0079115,Crime
tt0079115,Thriller
tt0079120,Drama
tt0079120,Terror
tt0079120,Mystery
tt0079164,Acción
tt0079164,Drama
tt0079197,Acción
tt0079197,Adventure
tt0079252,Acción
tt0079252,Comedy
tt0079252,Crime
tt0079258,Animación
tt0079258,Comedy
tt0079258,Drama
tt0079285,Adventure
tt0079285,Terror
tt0079285,Ciencia Ficción
tt0079293,Adventure
tt0079293,Animación
tt0079293,Drama
tt0079492,Drama
tt0079492,Fantasía
tt0079492,Romance
tt0079497,Adventure
tt0079497,Drama
tt0079497,War
tt0079509,Acción
tt0079509,Adventure
tt0079509,Comedy
tt0079573,Terror
tt0079573,Ciencia Ficción
tt0079650,Adventure
tt0079650,Comedy
tt0079650,Family
tt0079718,Acción
tt0079718,Comedy
tt0079718,Crime
tt0079719,Acción
tt0079719,Drama
tt0079735,Acción
tt0079735,Crime
tt0079735,Drama
tt0079749,Acción
tt0079749,Adventure
tt0079749,Family
tt0079788,Adventure
tt0079788,Terror
tt0079788,Mystery
tt0079820,Animación
tt0079820,Family
tt0079820,Fantasía
tt0079891,Acción
tt0079891,Comedy
tt0079891,Drama
tt0079896,Acción
tt0079896,Drama
tt0079897,Acción
tt0079899,Acción
tt0079899,Romance
tt0079915,Comedy
tt0079915,Terror
tt0080001,Acción
tt0080001,Comedy
tt0080001,Drama
tt0080054,Drama
tt0080054,Terror
tt0080054,Mystery
tt0080075,Crime
tt0080075,Drama
tt0080075,Terror
tt0080144,Acción
tt0080153,Acción
tt0080153,Drama
tt0080346,Comedy
tt0080346,Terror
tt0080346,Ciencia Ficción
tt0080354,Terror
tt0080354,Ciencia Ficción
tt0080354,Thriller
tt0080360,Terror
tt0080360,Ciencia Ficción
tt0080360,Thriller
tt0080362,Terror
tt0080362,Mystery
tt0080362,Thriller
tt0080377,Acción
tt0080377,Comedy
tt0080379,Drama
tt0080379,Fantasía
tt0080379,Terror
tt0080380,Music
tt0080380,Musical
tt0080380,Ciencia Ficción
tt0080399,Adventure
tt0080399,Family
tt0080399,Musical
tt0080402,Terror
tt0080420,Acción
tt0080420,Mystery
tt0080421,Acción
tt0080421,Adventure
tt0080421,Ciencia Ficción
tt0080427,Acción
tt0080427,Comedy
tt0080427,Drama
tt0080431,Terror
tt0080436,Acción
tt0080436,Comedy
tt0080436,Crime
tt0080438,Terror
tt0080440,Terror
tt0080448,Terror
tt0080450,Drama
tt0080450,Terror
tt0080450,Mystery
tt0080453,Adventure
tt0080453,Drama
tt0080453,Romance
tt0080455,Adventure
tt0080455,Comedy
tt0080455,Crime
tt0080461,Adventure
tt0080461,Animación
tt0080461,Comedy
tt0080464,Drama
tt0080464,Terror
tt0080465,Acción
tt0080465,Drama
tt0080472,Acción
tt0080472,Adventure
tt0080472,Comedy
tt0080475,Acción
tt0080475,Drama
tt0080485,Acción
tt0080485,Adventure
tt0080485,Crime
tt0080486,Terror
tt0080494,Adventure
tt0080494,Drama
tt0080494,War
tt0080499,Crime
tt0080499,Terror
tt0080501,Acción
tt0080503,Terror
tt0080503,Thriller
tt0080506,Terror
tt0080512,Acción
tt0080512,Drama
tt0080512,Mystery
tt0080513,Acción
tt0080513,Drama
tt0080513,Ciencia Ficción
tt0080516,Terror
tt0080516,Mystery
tt0080527,Terror
tt0080527,Ciencia Ficción
tt0080529,Acción
tt0080529,Adventure
tt0080529,Mystery
tt0080530,Acción
tt0080530,Comedy
tt0080530,Family
tt0080531,Adventure
tt0080531,Drama
tt0080531,Family
tt0080539,Comedy
tt0080539,Drama
tt0080539,Fantasía
tt0080545,Adventure
tt0080545,Drama
tt0080565,Adventure
tt0080565,Comedy
tt0080565,Crime
tt0080580,Acción
tt0080580,Adventure
tt0080580,Thriller
tt0080603,Adventure
tt0080603,Terror
tt0080603,Mystery
tt0080605,Acción
tt0080605,Crime
tt0080605,Drama
tt0080607,Terror
tt0080621,Acción
tt0080621,Adventure
tt0080621,Fantasía
tt0080627,Adventure
tt0080627,Comedy
tt0080627,Crime
tt0080636,Acción
tt0080636,Comedy
tt0080636,Terror
tt0080638,Acción
tt0080638,Comedy
tt0080638,Drama
tt0080641,Acción
tt0080641,Adventure
tt0080641,Drama
tt0080645,Terror
tt0080645,Thriller
tt0080653,Acción
tt0080653,Crime
tt0080653,Drama
tt0080658,Comedy
tt0080658,Drama
tt0080658,Terror
tt0080667,Comedy
tt0080667,Family
tt0080667,Fantasía
tt0080671,Adventure
tt0080671,Drama
tt0080683,Acción
tt0080683,Drama
tt0080684,Adventure
tt0080684,Fantasía
tt0080684,Ciencia Ficción
tt0080688,Acción
tt0080688,Mystery
tt0080701,Acción
tt0080701,Adventure
tt0080701,Comedy
tt0080705,Acción
tt0080705,Crime
tt0080707,Acción
tt0080707,Crime
tt0080707,Drama
tt0080710,Acción
tt0080710,Crime
tt0080710,Drama
tt0080711,Comedy
tt0080711,Crime
tt0080711,Terror
tt0080715,Comedy
tt0080715,Ciencia Ficción
tt0080717,Acción
tt0080717,Comedy
tt0080726,Acción
tt0080726,Drama
tt0080730,Terror
tt0080731,Comedy
tt0080731,Crime
tt0080731,Fantasía
tt0080736,Acción
tt0080736,Adventure
tt0080736,Ciencia Ficción
tt0080743,Acción
tt0080743,Drama
tt0080745,Acción
tt0080745,Adventure
tt0080745,Ciencia Ficción
tt0080748,Acción
tt0080748,Adventure
tt0080749,Terror
tt0080749,Thriller
tt0080752,Comedy
tt0080752,Fantasía
tt0080752,Musical
tt0080761,Terror
tt0080761,Mystery
tt0080761,Thriller
tt0080764,Terror
tt0080764,Mystery
tt0080764,Thriller
tt0080768,Adventure
tt0080768,Drama
tt0080768,Terror
tt0080771,Comedy
tt0080771,Ciencia Ficción
tt0080787,Terror
tt0080787,Thriller
tt0080801,Adventure
tt0080801,Comedy
tt0080802,Drama
tt0080802,Terror
tt0080806,Ciencia Ficción
tt0080813,Comedy
tt0080813,Fantasía
tt0080813,Music
tt0080827,Acción
tt0080827,Comedy
tt0080827,Fantasía
tt0080828,Acción
tt0080828,Comedy
tt0080828,Terror
tt0080836,Ciencia Ficción
tt0080842,Drama
tt0080842,Fantasía
tt0080842,Terror
tt0080845,Drama
tt0080845,Terror
tt0080845,Thriller
tt0080846,Adventure
tt0080846,Fantasía
tt0080850,Terror
tt0080850,Thriller
tt0080853,Drama
tt0080853,Terror
tt0080853,Thriller
tt0080855,Adventure
tt0080855,Drama
tt0080855,Western
tt0080861,Adventure
tt0080861,Comedy
tt0080861,Family
tt0080872,Acción
tt0080872,Comedy
tt0080872,Thriller
tt0080889,Adventure
tt0080889,Comedy
tt0080901,Acción
tt0080901,Drama
tt0080904,Terror
tt0080904,Ciencia Ficción
tt0080905,Acción
tt0080905,Drama
tt0080907,Acción
tt0080907,Biography
tt0080907,Comedy
tt0080910,Drama
tt0080910,Fantasía
tt0080910,Musical
tt0080915,Ciencia Ficción
tt0080915,Thriller
tt0080920,Fantasía
tt0080923,Terror
tt0080931,Terror
tt0080931,Ciencia Ficción
tt0080931,Thriller
tt0080933,Terror
tt0080933,Ciencia Ficción
tt0080934,Acción
tt0080934,Adventure
tt0080934,Drama
tt0080958,Acción
tt0080958,Drama
tt0080958,Romance
tt0080962,Acción
tt0080962,Drama
tt0080962,Ciencia Ficción
